Numero;Nome;Tensao (p.u.);Angulo (graus);Carga Ativa (MW);Carga Reativa (Mvar);Geracao Ativa (MW);Geracao Reativa (Mvar);Shunt (Mvar);Potencia Ativa Elo DC (MW);Potencia Reativa Elo DC (Mvar);Injecao Equivalente (MW);Injecao Equivalente (Mvar);Motor de Inducao (MW);Motor de Inducao (Mvar);Tipo da Barra;Tensao (KV);CER (Mvar);Shunt de Linha (Mvar);Estado Operativo
50;WCambrdg--V2;1,00;18,99;17,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
51;Newcmrst--V2;0,97;16,37;17,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
52;SCoshoct--V2;0,96;15,42;18,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
53;Wooster---V2;0,95;14,44;23,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
54;Torrey----V2;0,95;15,35;113,00;32,00;48,00;3,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
55;Wagenhls--V2;0,95;15,06;63,00;22,00;0,00;4,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
56;Sunnysde--V2;0,95;15,25;84,00;18,00;0,00;-2,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
57;WNwPhil1--V2;0,97;16,46;12,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
58;WNwPhil2--V2;0,96;15,60;12,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
59;Tidd------V2;0,98;19,45;277,00;113,00;155,00;76,83;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
60;SWKammer--V2;0,99;23,23;78,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
61;W.Kammer--V2;0,99;24,13;0,00;0,00;160,00;-40,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
62;Natrium---V2;1,00;23,51;77,00;14,00;0,00;1,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
63;Tidd------V1;0,97;22,83;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
64;Kammer----V1;0,98;24,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
65;Muskngum--V1;1,00;27,72;0,00;0,00;391,00;80,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
66;Muskngum--V2;1,05;27,56;39,00;18,00;392,00;-1,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
67;Summerfl--V2;1,02;24,92;28,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
68;Sporn-----V1;1,00;27,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
69;Sporn-----V2;1,03;30,00;0,00;0,00;513,44;-82,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2;1,00;0,00;0,00;LIG
70;Portsmth--V2;0,98;22,62;66,00;20,00;0,00;9,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
71;NPortsmt--V2;0,99;22,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
72;Hillsbro--V2;0,98;21,11;0,00;0,00;-12,00;-11,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
73;Sargents--V2;0,99;22,00;0,00;0,00;-6,00;9,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
74;Bellefnt--V2;0,96;21,67;68,00;27,00;0,00;-5,63;11,01;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
75;SthPoint--V2;0,97;22,93;47,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
76;Darrah----V2;0,94;21,80;68,00;36,00;0,00;5,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
77;Turner----V2;1,01;26,76;61,00;28,00;0,00;11,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
78;Chemical--V2;1,00;26,45;71,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
79;CapitlHl--V2;1,01;26,75;39,00;32,00;0,00;0,00;20,37;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
80;CabinCrk--V2;1,04;29,00;130,00;26,00;477,00;104,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
81;Kanawha---V1;1,00;28,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
82;Logan-----V2;0,99;27,28;54,00;27,00;0,00;0,00;19,55;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
83;Sprigg----V2;0,98;28,47;20,00;10,00;0,00;0,00;9,69;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
84;BetsyLne--V2;0,98;31,00;11,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
85;BeaverCk--V2;0,98;32,55;24,00;15,00;0,00;-5,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
86;Hazard----V2;0,99;31,18;21,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
87;Pinevlle--V3;1,01;31,44;0,00;0,00;4,00;11,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
88;Fremont---V2;0,99;35,68;48,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
89;ClinchRv--V2;1,00;39,74;0,00;0,00;607,00;-13,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
90;Holston---V2;0,98;33,33;78,00;42,00;-85,00;59,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
91;HolstonT--V2;0,98;33,35;0,00;0,00;-10,00;-15,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
92;Saltvlle--V2;0,99;33,84;65,00;10,00;0,00;0,48;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
93;Tazewell--V2;0,99;30,84;12,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
94;Switchbk--V2;0,99;28,69;30,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
95;Caldwell--V2;0,98;27,72;42,00;31,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
96;Baileysv--V2;0,99;27,55;38,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
97;Sundial---V2;1,01;27,92;15,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
98;Bradley---V2;1,02;27,45;34,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
99;Hinton----V2;1,01;27,09;0,00;0,00;-42,00;-17,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
100;GlenLyn---V2;1,02;28,08;37,00;18,00;252,00;109,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
101;Wythe-----V2;0,99;29,65;22,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
102;Smythe----V2;0,99;32,34;5,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
103;Claytor---V2;1,00;24,49;23,00;16,00;40,00;40,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-1;1,00;0,00;0,00;LIG
104;Hancock---V2;0,97;21,74;38,00;25,00;0,00;5,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
105;Roanoke---V2;0,97;20,62;31,00;26,00;0,00;-8,00;18,66;0,00;0,00;0,00;0,00;0,00;0,00;-1;1,00;0,00;0,00;LIG
106;Cloverdl--V2;0,96;20,37;43,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
107;Reusens---V2;0,95;17,58;28,00;12,00;-22,00;5,69;5,44;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
108;Blaine----V2;0,97;19,43;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
109;Franklin--V2;0,97;18,98;8,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
110;Fieldale--V2;0,97;18,14;39,00;30,00;0,00;4,86;5,68;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
111;DanRiver--V2;0,98;19,79;0,00;0,00;36,00;-1,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
112;Danville--V2;0,97;15,04;25,00;13,00;-43,00;41,51;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
113;DeerCrk---V2;0,99;14,00;0,00;0,00;-6,00;6,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
114;WMedford--V2;0,96;14,73;8,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
115;Medford---V2;0,96;14,72;22,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
116;KygerCrk--V2;1,00;27,17;0,00;0,00;-184,00;51,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
117;Corey-----V2;0,97;10,96;20,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
118;WHuntngd--V2;0,95;21,95;33,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
