Numero;Tensao (p.u.);Angulo (graus);Carga Ativa (MW);Carga Reativa (Mvar);Geracao Ativa (MW);Geracao Reativa (Mvar);Shunt (Mvar)
64;0,98;24,59;0,00;0,00;0,00;0,00;-0,00
65;1,00;27,72;0,00;0,00;391,00;107,26;-0,00
66;1,05;27,56;39,00;18,00;392,00;-0,45;-0,00
67;1,02;24,92;28,00;7,00;0,00;0,00;-0,00
68;1,00;27,60;0,00;0,00;0,00;0,00;-0,00
69;1,03;30,00;0,00;0,00;513,60;-75,78;-0,00
70;0,98;22,62;66,00;20,00;0,00;12,64;-0,00
71;0,99;22,21;0,00;0,00;0,00;0,00;-0,00
72;0,98;21,11;0,00;0,00;-12,00;-10,33;-0,00
73;0,99;21,99;0,00;0,00;-6,00;9,96;-0,00
74;0,96;21,67;68,00;27,00;0,00;-4,42;11,01
75;0,97;22,94;47,00;11,00;0,00;0,00;-0,00
76;0,94;21,80;68,00;36,00;0,00;6,07;-0,00
77;1,01;26,76;61,00;28,00;0,00;16,57;-0,00
78;1,00;26,45;71,00;26,00;0,00;0,00;-0,00
79;1,01;26,75;39,00;32,00;0,00;0,00;20,37
80;1,04;29,00;130,00;26,00;477,00;112,64;-0,00
81;1,00;28,15;0,00;0,00;0,00;0,00;-0,00
82;0,99;27,29;54,00;27,00;0,00;0,00;19,51
83;0,98;28,48;20,00;10,00;0,00;0,00;9,67
84;0,98;31,01;11,00;7,00;0,00;0,00;-0,00
85;0,98;32,55;24,00;15,00;0,00;-2,76;-0,00
86;0,99;31,19;21,00;10,00;0,00;0,00;-0,00
87;1,01;31,45;0,00;0,00;4,00;11,63;-0,00
88;0,99;35,68;48,00;10,00;0,00;0,00;-0,00
89;1,01;39,74;0,00;0,00;607,00;-10,73;-0,00
90;0,99;33,33;78,00;42,00;-85,00;60,75;-0,00
91;0,98;33,36;0,00;0,00;-10,00;-14,97;-0,00
92;0,99;33,84;65,00;10,00;0,00;4,15;-0,00
93;0,99;30,85;12,00;7,00;0,00;0,00;-0,00
94;0,99;28,70;30,00;16,00;0,00;0,00;-0,00
95;0,98;27,73;42,00;31,00;0,00;0,00;-0,00
96;0,99;27,56;38,00;15,00;0,00;0,00;-0,00
97;1,01;27,93;15,00;9,00;0,00;0,00;-0,00
98;1,02;27,45;34,00;8,00;0,00;0,00;-0,00
99;1,01;27,09;0,00;0,00;-42,00;-16,89;-0,00
100;1,02;28,08;37,00;18,00;252,00;115,55;-0,00
101;0,99;29,66;22,00;15,00;0,00;0,00;-0,00
102;0,99;32,35;5,00;3,00;0,00;0,00;-0,00
103;1,00;24,49;23,00;16,00;40,00;40,00;-0,00
104;0,97;21,74;38,00;25,00;0,00;7,95;-0,00
105;0,97;20,62;31,00;26,00;0,00;-8,00;18,65
106;0,96;20,38;43,00;16,00;0,00;0,00;-0,00
107;0,95;17,58;28,00;12,00;-22,00;6,98;5,44
108;0,97;19,43;2,00;1,00;0,00;0,00;-0,00
109;0,97;18,98;8,00;3,00;0,00;0,00;-0,00
110;0,97;18,13;39,00;30,00;0,00;6,76;5,68
111;0,98;19,78;0,00;0,00;36,00;-1,68;-0,00
112;0,98;15,04;25,00;13,00;-43,00;42,00;-0,00
113;0,99;13,98;0,00;0,00;-6,00;9,50;-0,00
114;0,96;14,71;8,00;3,00;0,00;0,00;-0,00
115;0,96;14,71;22,00;7,00;0,00;0,00;-0,00
116;1,00;27,16;0,00;0,00;-184,00;64,06;-0,00
117;0,97;10,94;20,00;8,00;0,00;0,00;-0,00
118;0,95;21,95;33,00;15,00;0,00;0,00;-0,00
